tdate,id,open,high,close,low,volume,amount,utime
2015-12-31,399106,2352.43,2356.90,2308.91,2308.84,22226173952,432566042624,2018-04-08 17:57:48
2015-12-30,399106,2333.62,2352.87,2351.35,2327.13,23173189632,455547781120,2018-04-08 17:57:48
2015-12-29,399106,2305.48,2330.36,2330.36,2286.99,21500993536,408793972736,2018-04-08 17:57:48
2015-12-28,399106,2367.97,2377.20,2308.38,2308.38,27978235904,528278126592,2018-04-08 17:57:48
2015-12-25,399106,2350.94,2366.06,2359.73,2343.76,21433126912,409651445760,2018-04-08 17:57:48
2015-12-24,399106,2344.78,2352.81,2346.37,2307.47,23255007232,434137694208,2018-04-08 17:57:48
2015-12-23,399106,2381.46,2386.31,2351.06,2345.37,31225325568,576756580352,2018-04-08 17:57:48
2015-12-22,399106,2363.28,2379.63,2379.63,2348.96,28839655424,513492549632,2018-04-08 17:57:48
2015-12-21,399106,2331.31,2361.51,2357.99,2329.68,29849067520,544467156992,2018-04-08 17:57:48
2015-12-18,399106,2341.75,2350.70,2335.60,2322.03,30575269888,593472716800,2018-04-08 17:57:48
2015-12-17,399106,2294.20,2342.18,2342.18,2294.20,32853768192,614923042816,2018-04-08 17:57:48
2015-12-16,399106,2272.44,2295.10,2280.12,2271.34,23545131008,462743404544,2018-04-08 17:57:48
2015-12-15,399106,2242.85,2273.14,2264.72,2242.85,22829381632,438285336576,2018-04-08 17:57:48
2015-12-14,399106,2174.72,2239.68,2239.68,2171.26,21494220800,393037807616,2018-04-08 17:57:48
2015-12-11,399106,2203.17,2215.40,2195.86,2185.78,20466589696,387813408768,2018-04-08 17:57:48
2015-12-10,399106,2212.31,2236.51,2211.86,2206.39,22863894528,449240268800,2018-04-08 17:57:48
2015-12-09,399106,2209.17,2230.78,2214.21,2197.17,23296440320,450382299136,2018-04-08 17:57:48
2015-12-08,399106,2250.17,2252.25,2221.27,2213.48,26104307712,490750148608,2018-04-08 17:57:48
2015-12-07,399106,2237.12,2263.43,2261.41,2222.26,24767039488,470486319104,2018-04-08 17:57:48
2015-12-04,399106,2236.77,2260.42,2233.26,2217.21,26807033856,503159160832,2018-04-08 17:57:48
2015-12-03,399106,2191.59,2243.94,2243.94,2191.59,24953294848,456594915328,2018-04-08 17:57:48
2015-12-02,399106,2191.45,2197.93,2189.31,2121.63,26399991808,469257388032,2018-04-08 17:57:48
2015-12-01,399106,2200.86,2226.69,2198.28,2172.21,27022223360,512563544064,2018-04-08 17:57:48
2015-11-30,399106,2187.33,2212.95,2203.61,2086.43,32521529344,596628275200,2018-04-08 17:57:48
2015-11-27,399106,2311.22,2324.06,2184.11,2168.71,37147516928,678451937280,2018-04-08 17:57:48
2015-11-26,399106,2354.42,2358.34,2325.69,2320.45,34966163456,680145059840,2018-04-08 17:57:48
2015-11-25,399106,2300.63,2346.37,2343.62,2298.64,32541589504,639101370368,2018-04-08 17:57:48
2015-11-24,399106,2266.14,2300.09,2300.09,2247.08,28393068544,530807914496,2018-04-08 17:57:48
2015-11-23,399106,2287.47,2310.76,2268.62,2260.05,36238548992,658859819008,2018-04-08 17:57:48
