tdate,id,open,high,close,low,volume,amount,utime
2016-03-31,000009,5428.26,5468.98,5422.17,5402.20,6654933700,81606499975,2018-04-08 17:57:48
2016-03-30,000009,5274.44,5409.49,5408.37,5274.44,6302188100,75132692149,2018-04-08 17:57:48
2016-03-29,000009,5317.33,5327.16,5227.71,5188.22,5430391700,63495286396,2018-04-08 17:57:48
2016-03-28,000009,5386.52,5426.76,5323.74,5305.28,5974676600,75803767564,2018-04-08 17:57:48
2016-03-25,000009,5290.37,5355.17,5354.51,5278.07,4879389900,62335051849,2018-04-08 17:57:48
2016-03-24,000009,5338.74,5386.23,5297.31,5291.49,6466681700,83372783837,2018-04-08 17:57:48
2016-03-23,000009,5326.75,5386.57,5386.19,5313.09,5927951500,76268800394,2018-04-08 17:57:48
2016-03-22,000009,5335.20,5392.94,5348.95,5303.57,7051350000,88402681348,2018-04-08 17:57:48
2016-03-21,000009,5295.04,5376.60,5375.66,5286.46,8726578400,100981668521,2018-04-08 17:57:48
2016-03-18,000009,5097.11,5254.06,5240.51,5095.16,8014237700,92484596626,2018-04-08 17:57:48
2016-03-17,000009,4954.51,5089.97,5075.91,4946.50,5302931900,60273379083,2018-04-08 17:57:48
2016-03-16,000009,5015.95,5035.96,4935.83,4908.07,3610132400,40125626078,2018-04-08 17:57:48
2016-03-15,000009,5019.96,5038.10,5007.34,4961.41,4212810000,47125192491,2018-04-08 17:57:48
2016-03-14,000009,4930.51,5083.39,5034.45,4930.51,5376274400,59486968676,2018-04-08 17:57:48
2016-03-11,000009,4844.70,4909.37,4880.48,4818.58,3445745500,36336692219,2018-04-08 17:57:48
2016-03-10,000009,4967.83,5001.57,4887.91,4881.32,4110046200,43644997822,2018-04-08 17:57:48
2016-03-09,000009,4977.67,5035.33,4961.95,4937.13,4844742900,49035560995,2018-04-08 17:57:48
2016-03-08,000009,5086.68,5096.70,5096.38,4904.43,6645053600,65886394936,2018-04-08 17:57:48
2016-03-07,000009,5015.20,5097.07,5083.41,5014.43,5848534100,57789425510,2018-04-08 17:57:48
2016-03-04,000009,5081.70,5118.40,4961.91,4889.85,6801565100,69068340562,2018-04-08 17:57:48
2016-03-03,000009,5079.59,5169.87,5099.05,5069.83,7737096900,79629585649,2018-04-08 17:57:48
2016-03-02,000009,4828.83,5084.44,5076.92,4825.77,7174886100,73251110380,2018-04-08 17:57:48
2016-03-01,000009,4745.93,4860.87,4836.27,4683.12,5229828700,53975889348,2018-04-08 17:57:48
