para_id,para_mon,except_dep
000001,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000002,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000008,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000009,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000010,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000011,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000012,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000016,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000017,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000905,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399001,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399002,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399003,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399004,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399005,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399006,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399008,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399100,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399101,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399106,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399107,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399108,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399333,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
399606,2018-05-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
