tdate,id,open,high,close,low,volume,amount,utime
2018-07-31,S600089,6.66,6.72,6.67,6.65,7655913.00,53022952.00,2018-11-02 10:24:58
2018-07-30,S600089,6.68,6.74,6.66,6.63,12080469.00,83653860.00,2018-11-02 10:24:58
2018-07-27,S600089,6.73,6.75,6.65,6.64,11458296.00,79373096.00,2018-11-02 10:24:58
2018-07-26,S600089,6.74,6.78,6.77,6.67,14886215.00,103706917.00,2018-11-02 10:24:58
2018-07-25,S600089,6.77,6.78,6.74,6.68,12545086.00,87313416.00,2018-11-02 10:24:58
2018-07-24,S600089,6.61,6.79,6.77,6.57,28860775.00,200883943.00,2018-11-02 10:24:58
2018-07-23,S600089,6.41,6.59,6.57,6.39,18873725.00,127239322.00,2018-11-02 10:24:58
2018-07-20,S600089,6.37,6.46,6.44,6.31,11665285.00,77258938.00,2018-11-02 10:24:58
2018-07-19,S600089,6.47,6.50,6.39,6.37,9370319.00,62354168.00,2018-11-02 10:24:58
2018-07-18,S600089,6.43,6.47,6.42,6.40,8892663.00,59248467.00,2018-11-02 10:24:58
2018-07-17,S600089,6.44,6.45,6.42,6.35,6740429.00,44655660.00,2018-11-02 10:24:58
2018-07-16,S600089,6.47,6.49,6.45,6.39,5572125.00,37127068.00,2018-11-02 10:24:58
2018-07-13,S600089,6.54,6.54,6.47,6.43,9902593.00,66406292.00,2018-11-02 10:24:58
2018-07-12,S600089,6.27,6.49,6.47,6.27,13223964.00,87930332.00,2018-11-02 10:24:58
2018-07-11,S600089,6.38,6.38,6.29,6.21,9094999.00,59366816.00,2018-11-02 10:24:58
2018-07-10,S600089,6.42,6.50,6.46,6.40,8075279.00,53881893.00,2018-11-02 10:24:58
2018-07-09,S600089,6.30,6.43,6.41,6.29,9290438.00,61472961.00,2018-11-02 10:24:58
2018-07-06,S600089,6.30,6.34,6.28,6.12,13048562.00,84746828.00,2018-11-02 10:24:58
2018-07-05,S600089,6.48,6.48,6.28,6.27,13310349.00,88007554.00,2018-11-02 10:24:58
2018-07-04,S600089,6.47,6.51,6.47,6.41,10100032.00,69757942.00,2018-11-02 10:24:58
2018-07-03,S600089,6.43,6.52,6.52,6.39,10763589.00,74321570.00,2018-11-02 10:24:58
2018-07-02,S600089,6.42,6.50,6.42,6.37,12344783.00,84931167.00,2018-11-02 10:24:58
