tdate,id,open,high,close,low,volume,amount,utime
2017-05-11,002013,11.60,11.71,11.68,11.13,9632331.00,147817946.00,2018-04-05 10:53:29
2017-05-10,002013,11.63,11.85,11.66,11.63,10016949.00,156371180.00,2018-04-05 10:53:29
2017-05-09,002013,11.40,11.78,11.61,11.36,10713962.00,165745033.00,2018-04-05 10:53:29
2017-05-08,002013,12.11,12.11,11.39,11.18,19441261.00,295312086.00,2018-04-05 10:53:29
2017-05-05,002013,12.62,12.68,12.20,12.18,9553732.00,157319394.00,2018-04-05 10:53:29
2017-05-04,002013,12.88,12.90,12.54,12.52,8800148.00,147784963.00,2018-04-05 10:53:29
2017-05-03,002013,12.72,12.91,12.84,12.69,6000710.00,102120979.00,2018-04-05 10:53:29
2017-05-02,002013,12.79,12.94,12.76,12.64,4713210.00,79914795.00,2018-04-05 10:53:29
2017-04-28,002013,12.56,12.77,12.73,12.50,6208704.00,104568937.00,2018-04-05 10:53:29
2017-04-27,002013,12.49,12.65,12.48,12.27,10453147.00,172851013.00,2018-04-05 10:53:29
2017-04-26,002013,12.85,13.01,12.55,12.43,11866289.00,199766145.00,2018-04-05 10:53:29
2017-04-25,002013,13.22,13.22,12.85,11.92,19069307.00,319283982.00,2018-04-05 10:53:29
2017-04-24,002013,13.28,13.50,13.24,13.21,11736788.00,208304443.00,2018-04-05 10:53:29
2017-04-21,002013,13.36,13.40,13.27,13.21,7394544.00,130427237.00,2018-04-05 10:53:29
2017-04-20,002013,13.17,13.44,13.33,13.16,10035648.00,177534288.00,2018-04-05 10:53:29
2017-04-19,002013,13.39,13.52,13.15,13.01,15103815.00,265374945.00,2018-04-05 10:53:29
2017-04-18,002013,13.57,13.80,13.50,13.46,11068287.00,199953698.00,2018-04-05 10:53:29
2017-04-17,002013,14.11,14.11,13.54,13.46,17068214.00,310754061.00,2018-04-05 10:53:29
2017-04-14,002013,14.06,14.39,14.12,13.95,19468416.00,366489914.00,2018-04-05 10:53:29
2017-04-13,002013,14.18,14.22,14.03,13.85,19150478.00,357032620.00,2018-04-05 10:53:29
2017-04-12,002013,14.15,14.66,14.18,13.94,48869438.00,930710244.00,2018-04-05 10:53:29
2017-04-11,002013,13.06,14.29,14.07,13.03,49563260.00,907364357.00,2018-04-05 10:53:29
2017-04-10,002013,13.20,13.20,13.03,13.01,11514658.00,200424326.00,2018-04-05 10:53:29
2017-04-07,002013,12.85,13.12,13.10,12.85,14404289.00,249778550.00,2018-04-05 10:53:29
2017-04-06,002013,12.88,12.90,12.84,12.79,5908678.00,100942879.00,2018-04-05 10:53:29
2017-04-05,002013,12.73,12.92,12.86,12.53,10157772.00,172816158.00,2018-04-05 10:53:29
