para_id,para_mon,except_dep
000001,2014-01-01,[Errno 2] No such file or directory: 'C:/Users/houz/Branch/theProcess/data/index_hist/201401_000001.txt'
000002,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000002,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000003,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000008,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000010,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2014-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2014-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2014-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2014-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2015-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2015-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2015-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2015-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2016-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2016-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2016-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2016-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2017-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2017-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2017-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2017-10-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2018-01-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000300,2018-04-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000905,2017-07-01,timed out
