para_id,para_mon,except_dep
000001,2018-05-01,获取失败，请检查网络.
000002,2018-05-01,获取失败，请检查网络.
000003,2018-05-01,获取失败，请检查网络.
000008,2018-05-01,获取失败，请检查网络.
000009,2018-05-01,获取失败，请检查网络.
000010,2018-05-01,获取失败，请检查网络.
000011,2018-05-01,获取失败，请检查网络.
000012,2018-05-01,获取失败，请检查网络.
000016,2018-05-01,获取失败，请检查网络.
000017,2018-05-01,获取失败，请检查网络.
000300,2018-05-01,获取失败，请检查网络.
000905,2018-05-01,获取失败，请检查网络.
399001,2018-05-01,获取失败，请检查网络.
399002,2018-05-01,获取失败，请检查网络.
399003,2018-05-01,获取失败，请检查网络.
399004,2018-05-01,获取失败，请检查网络.
399005,2018-05-01,获取失败，请检查网络.
399006,2018-05-01,获取失败，请检查网络.
399008,2018-05-01,获取失败，请检查网络.
399100,2018-05-01,获取失败，请检查网络.
399101,2018-05-01,获取失败，请检查网络.
399106,2018-05-01,获取失败，请检查网络.
399107,2018-05-01,获取失败，请检查网络.
399108,2018-05-01,获取失败，请检查网络.
399333,2018-05-01,获取失败，请检查网络.
399606,2018-05-01,获取失败，请检查网络.
