para_id,para_mon,except_dep
000008,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000540,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
000540,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002252,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002252,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002310,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002411,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002450,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002450,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002602,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002602,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002739,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
002739,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600157,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600485,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
600485,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
601118,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
601118,2018-09-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
601390,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
601727,2018-07-01,"""['open' 'high' 'close' 'low' 'volume' 'amount'] not in index"""
